"Date","Price","Open","High","Low","Vol.","Change %"
"10-10-2007","6,603.91","6,603.91","6,603.91","6,603.91","","2.14%"
"09-10-2007","6,465.33","6,465.33","6,465.33","6,465.33","","4.76%"
"08-10-2007","6,171.46","6,171.46","6,171.46","6,171.46","","-1.94%"
"05-10-2007","6,293.71","6,293.71","6,293.71","6,293.71","","-0.48%"
"04-10-2007","6,323.99","6,323.99","6,323.99","6,323.99","","0.00%"
"03-10-2007","6,323.99","6,323.99","6,323.99","6,323.99","","2.80%"
"01-10-2007","6,151.88","6,151.88","6,151.88","6,151.88","","0.95%"
"28-09-2007","6,094.11","6,094.11","6,094.11","6,094.11","","0.42%"
"27-09-2007","6,068.83","6,068.83","6,068.83","6,068.83","","1.22%"
"26-09-2007","5,995.94","5,995.94","5,995.94","5,995.94","","0.03%"
"25-09-2007","5,993.99","5,993.99","5,993.99","5,993.99","","0.13%"
"24-09-2007","5,985.91","5,985.91","5,985.91","5,985.91","","1.96%"
"21-09-2007","5,871.00","5,871.00","5,871.00","5,871.00","","1.90%"
"20-09-2007","5,761.77","5,761.77","5,761.77","5,761.77","","0.32%"
"19-09-2007","5,743.32","5,743.32","5,743.32","5,743.32","","4.10%"
"18-09-2007","5,517.33","5,517.33","5,517.33","5,517.33","","1.15%"
"17-09-2007","5,454.74","5,454.74","5,454.74","5,454.74","","-0.52%"
"14-09-2007","5,483.09","5,483.09","5,483.09","5,483.09","","-0.24%"
"13-09-2007","5,496.07","5,496.07","5,496.07","5,496.07","","0.71%"
"12-09-2007","5,457.12","5,457.12","5,457.12","5,457.12","","0.00%"
"11-09-2007","5,457.35","5,457.35","5,457.35","5,457.35","","-0.24%"
"10-09-2007","5,470.46","5,470.46","5,470.46","5,470.46","","0.06%"
"07-09-2007","5,467.13","5,467.13","5,467.13","5,467.13","","-0.20%"
"06-09-2007","5,478.17","5,478.17","5,478.17","5,478.17","","0.95%"
"05-09-2007","5,426.37","5,426.37","5,426.37","5,426.37","","-0.08%"
"04-09-2007","5,430.49","5,430.49","5,430.49","5,430.49","","0.11%"
"03-09-2007","5,424.33","5,424.33","5,424.33","5,424.33","","0.24%"
"31-08-2007","5,411.29","5,411.29","5,411.29","5,411.29","","1.17%"
"30-08-2007","5,348.64","5,348.64","5,348.64","5,348.64","","2.13%"
"29-08-2007","5,237.01","5,237.01","5,237.01","5,237.01","","0.00%"
"28-08-2007","5,237.01","5,237.01","5,237.01","5,237.01","","0.42%"
"27-08-2007","5,215.11","5,215.11","5,215.11","5,215.11","","2.68%"
"24-08-2007","5,078.77","5,078.77","5,078.77","5,078.77","","1.83%"
"23-08-2007","4,987.63","4,987.63","4,987.63","4,987.63","","-0.91%"
"22-08-2007","5,033.64","5,033.64","5,033.64","5,033.64","","1.93%"
"21-08-2007","4,938.51","4,938.51","4,938.51","4,938.51","","-3.19%"
"20-08-2007","5,101.10","5,101.10","5,101.10","5,101.10","","0.74%"
"17-08-2007","5,063.42","5,063.42","5,063.42","5,063.42","","-4.45%"
"16-08-2007","5,299.34","5,299.34","5,299.34","5,299.34","","0.00%"
"14-08-2007","5,299.34","5,299.34","5,299.34","5,299.34","","0.93%"
